insert 10000 bst = 309342 154671 3
insert 10000 avl = 516565461 121294 3699
search 10000 bst = 348922 174461 2
search 10000 avl = 270382 135191 1
insert 20000 bst = 707014 353507 7
insert 20000 avl = 2045649799 262465 15685
search 20000 bst = 786962 393481 5
search 20000 avl = 583294 291647 3
insert 30000 bst = 1052518 526259 11
insert 30000 avl = 4636640727 412195 38379
search 30000 bst = 1173044 586522 8
search 30000 avl = 912602 456301 7
insert 40000 bst = 1402896 701448 19
insert 40000 avl = 8082831747 564098 67783
search 40000 bst = 1561416 780708 13
search 40000 avl = 1245854 622927 13
insert 50000 bst = 1839160 919580 26
insert 50000 avl = 12793394975 723704 105784
search 50000 bst = 2036944 1018472 17
search 50000 avl = 1594450 797225 13
insert 60000 bst = 2239856 1119928 28
insert 60000 avl = 18567748026 885255 152926
search 60000 bst = 2482084 1241042 21
search 60000 avl = 1945138 972569 17
insert 70000 bst = 2803448 1401724 31
insert 70000 avl = 24972375187 1047110 213842
search 70000 bst = 3083550 1541775 29
search 70000 avl = 2303174 1151587 22
insert 80000 bst = 3176116 1588058 42
insert 80000 avl = 33307574032 1217502 299701
search 80000 bst = 3497778 1748889 33
search 80000 avl = 2670316 1335158 38
insert 90000 bst = 3631828 1815914 51
insert 90000 avl = 40711307553 1374548 395923
search 90000 bst = 3993878 1996939 36
search 90000 avl = 3012616 1506308 37
insert 100000 bst = 3975310 1987655 50
insert 100000 avl = 51399555672 1548594 512875
search 100000 bst = 4374712 2187356 42
search 100000 avl = 3387434 1693717 40

Probes for insert
N,BST,AVL
10000,309342,516565461
20000,707014,2045649799
30000,1052518,4636640727
40000,1402896,8082831747
50000,1839160,12793394975
60000,2239856,18567748026
70000,2803448,24972375187
80000,3176116,33307574032
90000,3631828,40711307553
100000,3975310,51399555672

Probes for search
N,BST,AVL
10000,348922,270382
20000,786962,583294
30000,1173044,912602
40000,1561416,1245854
50000,2036944,1594450
60000,2482084,1945138
70000,3083550,2303174
80000,3497778,2670316
90000,3993878,3012616
100000,4374712,3387434

Compares for insert
N,BST,AVL
10000,154671,121294
20000,353507,262465
30000,526259,412195
40000,701448,564098
50000,919580,723704
60000,1119928,885255
70000,1401724,1047110
80000,1588058,1217502
90000,1815914,1374548
100000,1987655,1548594

Compares for search
N,BST,AVL
10000,174461,135191
20000,393481,291647
30000,586522,456301
40000,780708,622927
50000,1018472,797225
60000,1241042,972569
70000,1541775,1151587
80000,1748889,1335158
90000,1996939,1506308
100000,2187356,1693717

Elapsed ms for insert
N,BST,AVL
10000,3,3699
20000,7,15685
30000,11,38379
40000,19,67783
50000,26,105784
60000,28,152926
70000,31,213842
80000,42,299701
90000,51,395923
100000,50,512875

Elapsed ms for search
N,BST,AVL
10000,2,1
20000,5,3
30000,8,7
40000,13,13
50000,17,13
60000,21,17
70000,29,22
80000,33,38
90000,36,37
100000,42,40
